model_identifier,1nn_accuracy,ft_accuracy
lazyturtl/roomidentifier,0.72,0.9300000071525574
google/vit-large-patch16-224,0.7150000000000001,0.9199999570846558
rexoscare/string_instrument_detector,0.7150000000000001,0.9300000071525574
nateraw/pasta-pizza-ravioli,0.7150000000000001,0.9249999523162842
smc/electric_poles,0.7150000000000001,0.9049999713897704
AykeeSalazar/violation-classification-bantai_vit,0.7150000000000001,0.9300000071525574
thapasushil/vit-base-cifar10,0.7150000000000001,0.8999999761581421
domluna/vit-base-patch16-224-in21k-shiba-inu-detector,0.7150000000000001,0.9350000023841858
osanseviero/hugging-geese,0.7150000000000001,0.9300000071525574
johnnydevriese/vit_beans,0.7150000000000001,0.8799999952316284
firebolt/llama_or_what,0.7150000000000001,0.9249999523162842
nateraw/doggos-lol,0.7150000000000001,0.9249999523162842
mmgyorke/vit-world-landmarks,0.7150000000000001,0.9199999570846558
abdusahmbzuai/CarViT,0.7150000000000001,0.8999999761581421
nateraw/vit-base-patch16-224-cifar10,0.71,0.9099999666213988
nateraw/vit-base-cats-vs-dogs,0.71,
victor/animals-classifier,0.71,0.9300000071525574
sreeramajay/pollution,0.71,0.9549999833106996
osanseviero/llama-alpaca-snake,0.71,0.9199999570846558
ipvikas/rare-puppers,0.71,0.9399999976158142
ismgar01/vit-base-cats-vs-dogs,0.71,0.875
dog/rare-puppers,0.71,0.9249999523162842
roschmid/dog-races,0.71,0.9350000023841858
nateraw/vit-base-beans-demo,0.71,0.875
peterbonnesoeur/Visual_transformer_chihuahua_cookies,0.71,0.9399999976158142
smaranjitghose/cricket-baseball-smrn,0.71,0.9449999928474426
johnnydevriese/vliegmachine,0.71,0.9350000023841858
hgarg/indian-snacks,0.71,0.9249999523162842
lazyturtl/roomclassifier,0.71,0.9099999666213988
drab/Infrastructures,0.71,0.9300000071525574
julien-c/hotdog-not-hotdog,0.7050000000000001,
ibombonato/vit-age-classifier,0.7050000000000001,0.9099999666213988
driboune/skin_type,0.7050000000000001,0.9199999570846558
nickmuchi/vit-base-beans,0.7050000000000001,0.9049999713897704
Aftabhussain/Tomato_Leaf_Classifier,0.7050000000000001,0.9249999523162842
micole66/dwarf-goats,0.7050000000000001,0.9249999523162842
Nonem100/Test-Model,0.7050000000000001,0.9300000071525574
Neto71/sea_mammals,0.7050000000000001,0.8999999761581421
jjhoffstein/lotr,0.7050000000000001,0.9549999833106996
mmekias/vit-base-beans,0.7050000000000001,
suhnylla/planes_airlines,0.7050000000000001,
nateraw/rare-puppers-09-04-2021,0.7050000000000001,0.9300000071525574
hafidber/anomaly,0.7050000000000001,0.9149999618530272
karthiksv/vit-base-beans,0.7,0.9199999570846558
michaelbenayoun/vit-base-beans,0.7,0.9249999523162842
lazyturtl/WEC-types,0.7,0.9249999523162842
karthiksv/vit-base-patch16-224-cifar10,0.7,0.9199999570846558
Sena/flowers,0.7,0.9300000071525574
juanfiguera/ice_cream,0.7,0.9249999523162842
nateraw/rare-puppers-123,0.7,0.9300000071525574
nateraw/trainer-rare-puppers,0.7,0.9300000071525574
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.7,0.9350000023841858
nateraw/rare-puppers-demo,0.7,0.8949999809265137
thak123/goan-fish-fry,0.6950000000000001,0.9449999928474426
