model_identifier,1nn_accuracy,ft_accuracy
nateraw/rare-puppers-09-04-2021,0.935,0.9300000071525574
gatecitypreservation/architectural_styles,0.9299999999999999,0.9099999666213988
nateraw/pasta-pizza-ravioli,0.9299999999999999,0.8799999952316284
ajanco/greens,0.9299999999999999,0.9049999713897704
hafidber/fruits,0.9299999999999999,0.8499999642372131
osanseviero/llama-or-potato,0.925,
dog/rare-puppers,0.925,0.9049999713897704
smaranjitghose/big-cat-classifier,0.925,
godiec/diam,0.925,0.8499999642372131
Amrrs/south-indian-foods,0.925,0.8799999952316284
Sena/dog,0.925,0.9149999618530272
roydcarlson/grain,0.92,0.8799999952316284
Amrrs/indian-foods,0.92,0.9049999713897704
nickmuchi/vit-finetuned-cats-dogs,0.92,0.9300000071525574
mrm8488/vit-base-patch16-224_finetuned-kvasirv2-colonoscopy,0.92,0.8849999904632568
Ahmed9275/ALL,0.92,0.8700000047683716
davanstrien/iiif_manuscript_vit,0.92,0.8999999761581421
microsoft/swin-base-patch4-window7-224,0.92,0.675000011920929
dimbyTa/rock-challenge-ViT-two-by-two,0.92,0.9350000023841858
LorenzoDeMattei/lawn-weeds,0.915,0.8499999642372131
jasmeen/dogs,0.915,
Ahmed9275/ALL-2,0.915,0.8999999761581421
Sena/flowers,0.915,0.875
eliwill/rare-puppers,0.915,0.9049999713897704
nateraw/planes-trains-automobiles,0.915,0.6349999904632568
nateraw/food,0.91,
imjeffhi/pokemon_classifier,0.91,0.9300000071525574
yangy50/garbage-classification,0.91,0.8700000047683716
iyzg/computer-stuff,0.91,0.7749999761581421
pierric/ny-cr-fr,0.91,0.9199999570846558
Nonem100/Test-Model,0.91,0.8299999833106995
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.91,0.8549999594688416
AhmedSayeem/VIT_Basic,0.91,0.7999999523162842
matteopilotto/vit-base-patch16-224-in21k-snacks,0.905,0.8899999856948853
AykeeSalazar/vc-bantai-vit-withoutAMBI,0.9,0.8399999737739563
abdusahmbzuai/CarViT,0.9,0.9549999833106996
victor/animals-classifier,0.895,0.8700000047683716
peterbonnesoeur/Visual_transformer_chihuahua_cookies,0.895,0.8650000095367432
thapasushil/vit-base-cifar10,0.885,0.9350000023841858
johnnydevriese/vit_beans,0.88,0.8849999904632568
ismgar01/vit-base-cats-vs-dogs,0.875,0.8799999952316284
smc/PANDA_ViT,0.87,0.8999999761581421
nateraw/vit-base-beans-demo-v3,0.86,0.8100000023841858
Zayn/VIT_Basic,0.86,
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.855,0.7899999618530273
nielsr/vit-finetuned-eurosat-kornia,0.855,0.9199999570846558
hgarg/fruits,0.85,0.85999995470047
nateraw/vit-base-beans-demo-v2,0.84,0.7099999785423279
nickmuchi/vit-base-beans,0.83,0.8799999952316284
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.8200000000000001,0.8349999785423279
Ahmed9275/ALL-94.5,0.81,0.8849999904632568
AykeeSalazar/violation-classification-bantai_vit,0.795,0.8899999856948853
nateraw/vit-age-classifier,0.77,0.9149999618530272
eslamxm/vit-base-food101,0.755,0.9099999666213988
akahana/vit-base-cats-vs-dogs,0.755,0.8349999785423279
johnnydevriese/vit-airplanes,0.755,0.8050000071525574
AykeeSalazar/violation-classification-bantai-vit-withES,0.745,
Vemi/orchid219_ft_vit-large-patch16-224-in21k-finetuned-eurosat,0.74,0.9699999690055848
davanstrien/deit_flyswot,0.7150000000000001,0.8449999690055847
nateraw/vit-base-beans-demo,0.71,0.8349999785423279
nickmuchi/vit-base-xray-pneumonia,0.7050000000000001,0.8100000023841858
facebook/deit-base-distilled-patch16-224,0.685,0.8399999737739563
facebook/deit-base-patch16-224,0.6699999999999999,0.8499999642372131
WinKawaks/vit-tiny-patch16-224,0.6599999999999999,0.089999996125698
facebook/deit-small-distilled-patch16-224,0.62,0.7849999666213989
facebook/deit-small-patch16-224,0.605,0.7299999594688416
facebook/deit-tiny-distilled-patch16-224,0.605,0.7199999690055847
facebook/deit-tiny-patch16-224,0.585,0.625
flyswot/test,0.5700000000000001,0.6499999761581421
facebook/data2vec-vision-large,0.5449999999999999,
Ahmed9275/Vit-Cifar100,0.5349999999999999,0.7649999856948853
AkshatSurolia/DeiT-FaceMask-Finetuned,0.5,
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.48,0.0049999998882412
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.475,0.0049999998882412
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.45499999999999996,0.0399999991059303
whatAboutThis/swin-tiny-patch4-window7-224-finetuned-eurosat,0.44999999999999996,0.0
