model_identifier,1nn_accuracy,ft_accuracy
Neto71/sea_mammals,0.515,0.6850000023841858
Sena/dog,0.515,0.6549999713897705
nateraw/trainer-rare-puppers,0.515,0.675000011920929
hafidber/fruits,0.515,0.6949999928474426
ibombonato/vit-age-classifier,0.51,0.6850000023841858
flyswot/test,0.51,0.6499999761581421
Giuliano/places,0.51,0.6699999570846558
Aftabhussain/Tomato_Leaf_Classifier,0.51,0.6299999952316284
pierric/ny-cr-fr,0.51,0.6150000095367432
lazyturtl/blocks,0.51,0.6499999761581421
mmekias/vit-base-beans,0.51,0.6699999570846558
drab/Infrastructures,0.51,0.675000011920929
nateraw/rare-puppers-09-04-2021,0.51,0.7899999618530273
nateraw/vit-age-classifier,0.505,0.6150000095367432
nateraw/vit-base-cats-vs-dogs,0.505,0.6499999761581421
nickmuchi/vit-finetuned-chest-xray-pneumonia,0.505,0.6299999952316284
edixo/road_good_damaged_condition,0.505,0.675000011920929
smaranjitghose/big-cat-classifier,0.505,0.7099999785423279
karthiksv/vit-base-beans,0.505,0.6549999713897705
nateraw/baseball-stadium-foods,0.505,0.6399999856948853
nateraw/denver-nyc-paris,0.505,0.6699999570846558
nateraw/rare-puppers,0.505,0.6599999666213989
zzzzzzttt/vit-base-patch16-224-finetuned-eurosat,0.505,0.7450000047683716
karthiksv/vit-base-patch16-224-cifar10,0.505,0.6449999809265137
juanfiguera/ice_cream,0.505,0.6649999618530273
nateraw/baked-goods,0.505,
karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,0.505,0.6649999618530273
SriramSridhar78/sriram-car-classifier,0.505,0.6899999976158142
b25mayank3/shirt_identifier,0.505,0.6649999618530273
nateraw/rare-puppers-demo,0.505,0.6499999761581421
hafidber/rare-puppers,0.505,0.6499999761581421
Rajaram1996/FacialEmoRecog,0.5,0.6549999713897705
Amrrs/indian-foods,0.5,0.625
akahana/asl-vit,0.5,0.6899999976158142
Hijazzi/rare-puppers,0.5,0.6449999809265137
ferdinand/rare-puppers,0.5,0.6349999904632568
facebook/deit-small-patch16-224,0.495,0.7699999809265137
WinKawaks/vit-tiny-patch16-224,0.495,0.4350000023841858
smc/PANDA_ViT,0.495,0.6449999809265137
dog/rare-puppers,0.495,0.7049999833106995
roydcarlson/grain,0.495,0.6499999761581421
dimbyTa/rock-challenge-ViT-two-by-two,0.495,0.625
johnnydevriese/vit_beans,0.495,0.6349999904632568
vivekRahul/animal_classifier_huggingface,0.495,0.6800000071525574
microsoft/swin-large-patch4-window7-224,0.49,0.7400000095367432
micole66/dwarf-goats,0.49,0.6399999856948853
filipafcastro/beer_vs_wine,0.49,0.6549999713897705
velociraptor/hugging-doge,0.49,0.6850000023841858
facebook/data2vec-vision-large,0.485,
ipvikas/rare-puppers,0.485,0.5899999737739563
nateraw/food,0.48,0.699999988079071
nateraw/vit-base-beans,0.48,0.6449999809265137
eren23/pneumonia_test_attempt,0.48,0.6549999713897705
suhnylla/planes_airlines,0.48,0.6649999618530273
AykeeSalazar/violation-classification-bantai-vit-v100ep,0.48,0.6850000023841858
johnnydevriese/vit-airplanes,0.48,0.625
AykeeSalazar/violation-classification-bantai_vit,0.475,0.6699999570846558
mrm8488/vit-base-patch16-224_finetuned-pneumothorax,0.475,0.6499999761581421
firebolt/llama_or_what2,0.47,0.6449999809265137
Ahmed9275/ALL,0.47,0.625
nateraw/vit-base-beans-demo-v3,0.47,0.6399999856948853
davanstrien/iiif_manuscript_vit,0.47,0.6399999856948853
lazyturtl/roomclassifier,0.47,
AykeeSalazar/violation-classification-bantai-vit-v80ep,0.46499999999999997,0.6949999928474426
firebolt/llama_or_what,0.46499999999999997,0.6399999856948853
matteopilotto/vit-base-patch16-224-in21k-snacks,0.45999999999999996,0.6399999856948853
jadohu/BEiT-finetuned,0.45999999999999996,0.1299999952316284
eren23/pneumonia-bielefeld-dl-course,0.45999999999999996,0.625
ismgar01/vit-base-cats-vs-dogs,0.45499999999999996,0.6299999952316284
vincentclaes/mit-indoor-scenes,0.44999999999999996,0.6449999809265137
AkshatSurolia/DeiT-FaceMask-Finetuned,0.44999999999999996,
nateraw/planes-trains-automobiles,0.44999999999999996,0.6349999904632568
microsoft/swin-base-patch4-window7-224-in22k,0.43999999999999995,0.7049999833106995
microsoft/beit-large-patch16-224-pt22k-ft22k,0.43999999999999995,
nielsr/beit-large-patch16-224-pt22k-ft22k,0.43999999999999995,
Zayn/VIT_Basic,0.43999999999999995,0.7599999904632568
microsoft/beit-large-patch16-224,0.43500000000000005,
facebook/data2vec-vision-base,0.42500000000000004,0.2649999856948852
AykeeSalazar/violation-classification-bantai-vit-withES,0.42500000000000004,0.6699999570846558
microsoft/beit-base-patch16-224-pt22k-ft22k,0.42500000000000004,0.2800000011920929
Ahmed9275/Vit-Cifar100,0.42500000000000004,0.5949999690055847
akahana/vit-base-cats-vs-dogs,0.41000000000000003,0.5
nickmuchi/vit-base-beans,0.41000000000000003,0.6399999856948853
nielsr/beit-base-patch16-224,0.405,0.1799999922513961
microsoft/beit-base-patch16-224,0.405,0.1799999922513961
mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,0.4,0.0049999998882412
facebook/data2vec-vision-base-ft1k,0.39,0.5600000023841858
nateraw/vit-base-beans-demo,0.385,0.6299999952316284
jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,0.385,0.6150000095367432
facebook/data2vec-vision-large-ft1k,0.38,
microsoft/swin-base-patch4-window7-224,0.375,0.7049999833106995
plantdoctor/swin-tiny-patch4-window7-224-plant-doctor,0.37,0.1899999976158142
microsoft/swin-small-patch4-window7-224,0.36,0.2449999898672104
mrm8488/data2vec-base-finetuned-imagenet1k,0.355,0.2800000011920929
microsoft/beit-base-patch16-384,0.35,
whatAboutThis/swin-tiny-patch4-window7-224-finetuned-eurosat,0.345,0.0999999940395355
jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,0.33499999999999996,0.1449999958276748
ibombonato/swin-age-classifier,0.32999999999999996,0.7149999737739563
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,0.32999999999999996,0.4199999868869781
AkshatSurolia/ViT-FaceMask-Finetuned,0.31999999999999995,0.1949999928474426
mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,0.31999999999999995,0.7400000095367432
nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,0.31000000000000005,0.0350000001490116
zzzzzzttt/swin-tiny-patch4-window7-224-finetuned-eurosat,0.30500000000000005,0.0499999970197677
guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,0.30000000000000004,0.0049999998882412
nickmuchi/vit-base-xray-pneumonia,0.29500000000000004,0.5199999809265137
aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,0.29500000000000004,0.6850000023841858
Jazzweller/swin-tiny-patch4-window7-224-finetuned-eurosat,0.29000000000000004,0.2349999994039535
microsoft/swin-tiny-patch4-window7-224,0.29000000000000004,0.6100000143051147
Ahmed9275/ALL-3,0.28500000000000003,0.5849999785423279
nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,0.27,0.7299999594688416
nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,0.27,0.6399999856948853
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,0.27,0.0549999997019767
daveni/upside_down_classifier,0.26,0.209999993443489
schoenml/swin-tiny-patch4-window7-224-finetuned-eurosat,0.26,0.0049999998882412
microsoft/beit-large-patch16-224-pt22k,0.255,
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,0.255,0.1149999946355819
Matthijs/snacks-classifier,0.25,0.199999988079071
Ahmed9275/ALL-test,0.245,0.7099999785423279
microsoft/beit-base-patch16-224-pt22k,0.22499999999999998,0.2049999982118606
microsoft/dit-base-finetuned-rvlcdip,0.21499999999999997,0.4050000011920929
nates-test-org/convit_base,0.19999999999999996,
nates-test-org/convit_tiny,0.19999999999999996,
timm/vit_huge_patch14_224_in21k,0.19999999999999996,
nates-test-org/convit_small,0.19999999999999996,
microsoft/dit-large-finetuned-rvlcdip,0.18500000000000005,
davanstrien/vit_flyswot_test,0.17500000000000004,0.0399999991059303
AkshatSurolia/BEiT-FaceMask-Finetuned,0.17000000000000004,0.3599999845027923
hf-internal-testing/tiny-random-vit,0.16000000000000003,0.0049999998882412
dimbyTa/rock-challenge-DeiT-solo,0.14,0.1550000011920929
lysandre/tiny-vit-random,0.11499999999999999,0.0049999998882412
nateraw/test_model_a,0.11499999999999999,0.0049999998882412
dimbyTa/rock-challenge-DeiT-solo-2,0.07999999999999996,0.0999999940395355
